1483 393612 30447
2986 718747 61025
877 214175 18550
1015 241608 21303
3893 937800 80086
2435 580688 49828
1486 352461 30226
592 141869 12817
749 180950 16408
1521 367097 31153
2462 596345 51187
2127 511632 44205
790 190658 15996
159 39544 3354
1863 459531 38261
2026 487480 41707
640 156662 13841
3526 845699 72610
1272 305725 26479
3836 919848 81296
1311 318481 27648
3468 837412 72427
2667 643250 56664
529 128268 10753
1882 454303 39501
1630 396468 34393
2962 721559 62238
1223 294768 25366
2167 525985 47579
3235 784788 67009
2029 488106 43050
3902 949179 80594
2122 514548 44663
3158 756316 65538
1169 281093 25794
2267 550190 47148
1493 358595 30513
2556 610466 53505
3111 744061 64759
2142 521801 45422
329 81488 7225
1473 359388 30737
521 124119 10953
1019 245908 21919
1884 455794 38555
2637 631493 55034
3298 796170 67532
2424 591559 51255
2415 578425 50931
470 109573 11231
2513 613632 52844
3626 869305 75654
191 45456 4281
1080 266135 22600
4056 987591 82838
1973 473405 42187
2962 735653 60141
3270 802995 66795
3096 751871 62763
1381 334141 28647
2405 579856 48762
1025 241824 21462
1184 285987 24234
427 105744 9047
436 104479 8980
2605 629479 54929
2946 719593 60137
1829 434303 37791
1413 348805 28785
1957 474790 42128
224 55854 5798
1995 492350 40665
3682 895804 75736
645 158814 13794
2914 712867 59444
1467 357380 29890
3534 846666 73416
2464 609535 49675
143 34129 3383
1850 451994 39234
3187 773325 64794
2908 703030 59086
1376 331870 28502
3278 775046 68218
3888 940547 80015
1684 412303 35337
1503 360232 32158
2751 665880 55782
854 206393 18347
499 120196 10621
4032 973272 85826
3160 757701 64680
1776 426361 36927
1468 356786 31441
3839 932502 77525
2112 510340 43840
326 78271 6969
2686 673526 57021
194 48362 4453
1639 400758 34453
895 217085 19728
670 161705 13759
3534 869813 72504
478 114150 9976
1567 377800 33044
2701 654058 54553
2197 524822 45049
1002 240912 20926
1417 347104 28914
2592 637364 53283
2752 664262 58212
856 207247 17601
1401 337077 32153
380 91933 8099
386 93983 8048
1541 373392 32080
1965 476229 40221
1789 432903 38045
544 132200 12231
2719 652994 55651
2540 633119 52684
829 194821 17033
2131 522887 48200
217 53952 5035
2197 520905 57385
1871 466879 40012
2581 629340 53882
2775 675029 59354
809 198324 17256
3027 740669 63595
667 162745 15798
1956 475589 58148
3597 860184 91214
453 112626 10507
2686 667112 59563
1065 261090 23523
3406 824233 72802
783 188399 17951
2319 577396 49235
724 178784 16824
3628 891342 76965
971 235543 22408
1832 440415 38786
929 225372 20186
1603 393363 34539
2119 515593 46734
2370 583840 51027
3468 844707 72572
3808 925327 79447
2815 682587 58474
2440 605464 51623
2249 544632 48009
3896 943212 80551
823 192821 19188
2718 658074 59496
2345 583410 50217
2946 711728 62108
1551 375657 33845
1021 250317 22228
3655 896865 76896
479 116319 10942
1588 383453 34565
1864 454765 40787
328 83433 7507
1941 477211 42297
450 108265 9713
1293 316184 27181
1600 390240 33795
1134 274973 24378
3864 944948 81307
2224 545182 48173
1014 247875 22368
1087 266508 24745
3956 961160 81772
1843 448551 39176
2591 629161 55119
2327 570454 51194
465 115862 10409
1959 478591 41732
2036 498558 45045
3532 864760 73236
651 159506 15319
537 132155 11426
3328 804618 69215
1375 335472 30333
3507 860643 72544
1574 398553 32814
221 50174 5243
958 230811 21712
2495 605424 52161
129 32660 4132
1337 324208 29767
335 79654 7753
1893 453872 39805
1918 468518 41868
2528 615542 53095
2243 555278 47604
3111 768996 68074
4028 990198 84140
3629 883949 76607
2876 701828 61864
2504 610932 53303
543 133320 12788
3863 946614 95249
2713 661950 69290
2638 639839 66977
2706 660076 68383
940 230746 21533
3004 732852 63248
918 229400 19800
3228 792983 68447
2788 680124 59750
1469 355143 33813
4017 988119 82865
2017 490137 42347
3096 754032 65243
3424 837546 71571
3843 936815 80119
3570 877629 74433
283 70330 6690
2590 636249 56535
3599 884343 77280
1872 458672 39987
2825 686188 59048
1744 424429 37493
3690 898170 77736
1605 393603 33814
239 57797 6050
3054 739424 63188
1886 461111 40644
3769 924003 79681
2182 537987 45626
642 156395 15136
564 140374 12782
2297 563161 48487
3607 891712 75362
3455 839134 72456
904 222952 20111
448 109231 10523
2711 664966 58544
1722 419361 36252
3928 959162 81575
1399 345307 30006
3443 843809 73141
3846 929504 81514
3668 901274 78593
2440 591057 50873
3522 857347 87115
3411 831287 70261
1910 465518 40652
3705 907931 77109
1901 463274 41555
1761 429518 38061
1830 446581 39524
978 236039 21852
3405 828749 70947
1420 346623 30586
2836 695771 59975
3544 869682 74006
726 172928 16132
622 154576 14446
3565 871039 74116
2808 686360 59276
1516 373163 33988
382 94424 9118
1358 332206 29946
1024 251372 22109
3737 918677 78100
2162 524938 45283
1724 421782 38154
2700 661378 57060
136 33314 3655
1552 372999 33577
3999 972972 82240
3479 850911 73479
1650 400743 35600
3568 870419 76001
2171 533514 47802
1073 261180 23649
3231 794692 69181
3981 950322 89922
1030 258705 23002
1033 254471 23252
1994 489938 54454
2760 678306 58282
2263 555351 48336
1299 316764 28803
4081 1006512 84406
999 247821 22126
1096 272182 23206
1059 258405 22925
1873 461067 40199
913 228549 20194
3768 916578 78528
3290 802417 71229
1195 287855 25735
1026 252154 21552
566 139364 13079
1184 287404 27105
3440 841843 72870
2190 534078 46622
3784 923110 80781
3476 848524 72589
3642 893274 76029
4036 986137 84547
3207 774699 67376
1545 378284 34183
3856 940883 81107
1279 313848 28128
2518 618149 53041
2987 732952 63079
1512 363468 33013
3448 841492 71441
272 64917 5914
3759 923000 78131
2109 521674 46150
2436 597010 52224
1310 321577 27430
2442 598934 63574
3687 897337 78131
2306 561580 50836
3401 834118 71252
1813 440038 39328
3472 835435 73891
3421 810497 75350
1355 365391 32959
919 236325 21358
699 174217 15733
1821 454075 40676
2004 500202 43556
4039 1000347 86011
3911 937280 83201
2040 501279 44956
3767 951547 81945
3805 927997 81234
2328 561146 49085
