42 1 0
2468 5 10
2335 5 13
2501 5 11
3170 6 14
3725 7 16
3479 7 14
1359 2 6
2963 5 13
465 1 2
1706 4 7
146 0 1
3282 6 14
828 2 4
1962 4 8
492 1 2
2996 6 13
3943 7 17
828 2 3
1437 3 6
392 1 1
2605 5 11
3903 8 16
154 1 0
293 1 1
383 1 2
1422 2 6
2717 5 12
3719 7 16
3896 7 17
1448 3 6
1727 3 8
2772 5 12
3539 7 15
1870 4 8
3913 7 17
1668 3 7
2300 5 9
1036 2 5
1895 3 8
704 2 3
3812 7 16
3323 6 16
2334 4 10
1674 3 7
665 1 3
3142 6 13
3712 7 16
254 1 1
2869 5 13
1548 3 6
3645 7 16
663 1 3
758 1 3
38 0 0
860 2 4
724 1 3
1742 3 8
3530 6 15
779 2 3
317 1 1
3036 5 13
2191 5 9
1843 3 8
289 1 1
2107 4 13
1041 2 4
943 2 4
3265 6 14
2649 5 11
3447 7 15
3806 7 16
3891 8 17
2730 5 11
371 1 2
3351 6 15
3007 5 13
3102 6 14
394 1 2
3549 6 16
3630 6 17
624 1 3
85 0 1
3955 7 18
2757 5 12
3841 7 17
967 2 4
3377 6 15
1932 4 8
2309 5 9
945 2 4
440 1 2
627 1 3
3324 6 15
1538 2 7
1539 3 7
119 0 1
2083 4 9
2930 5 13
542 1 2
834 2 4
3116 6 13
640 1 3
1659 3 7
2705 5 12
1931 3 9
1978 3 9
2307 4 10
3674 7 16
2387 5 10
1022 2 5
746 1 3
2925 6 13
3073 9 15
2271 4 10
1830 3 8
2778 5 12
3574 7 16
1098 2 4
513 1 2
3987 8 17
1291 3 5
1162 3 5
2637 4 12
2356 4 10
768 2 3
3656 7 16
3575 7 15
32 0 0
53 0 0
3351 7 14
1151 2 5
942 2 4
1725 3 8
1967 4 8
3431 6 15
3108 6 14
2192 4 9
2008 4 9
3338 6 15
3458 7 22
288 0 2
3754 7 17
2384 5 10
2946 5 13
910 2 3
210 1 1
1759 3 8
222 0 1
2589 5 11
2423 5 10
947 2 4
3507 6 16
1031 1 5
414 1 1
1169 3 5
901 1 4
592 1 3
2763 5 12
1656 3 7
1411 3 6
2360 4 11
3625 7 15
538 1 3
1549 2 7
2484 5 10
3596 7 15
42 1 0
3603 6 16
351 1 1
2292 4 10
2837 5 12
1375 3 6
3021 6 13
597 1 2
22 0 0
3349 7 14
3200 6 14
3669 7 16
485 1 2
282 1 1
735 1 3
54 0 1
2000 3 9
2419 5 10
3939 8 17
2901 5 20
3789 7 17
2128 4 9
468 1 2
3729 6 17
2894 5 12
649 2 3
2484 4 11
1808 4 7
2422 5 10
2311 5 10
2618 5 11
2814 5 13
1515 2 7
2310 5 10
3617 7 15
2936 6 12
1452 3 6
601 1 3
1250 2 6
520 1 2
3557 6 16
2799 5 13
2304 4 10
2225 5 9
3009 6 13
1845 4 8
610 1 2
2990 6 13
703 1 3
3196 6 14
486 1 2
3094 6 13
2344 5 10
2524 5 11
1588 2 7
1315 3 5
1504 3 8
3449 6 20
1201 2 5
1459 3 6
2619 5 12
581 1 2
3797 7 17
2799 5 12
3282 6 15
3590 6 16
799 1 4
10 0 0
3158 6 13
473 0 2
3623 7 16
2539 5 11
293 1 1
2039 4 9
180 0 1
2191 5 10
1658 3 7
3959 8 17
2192 4 9
3816 7 17
2889 6 13
3157 5 14
3512 7 15
203 0 1
2635 5 11
273 1 1
56 0 0
329 1 2
2647 4 12
2363 5 11
887 1 4
2876 6 14
434 1 2
1870 4 8
143 1 0
3845 7 17
1417 3 7
1882 3 8
3999 8 17
2323 4 16
2652 5 12
2022 3 19
1700 4 9
3558 7 15
477 1 2
3893 8 16
390 1 2
1076 2 4
2713 6 11
2601 5 11
2511 5 11
1004 2 4
2870 5 13
1862 4 8
2689 5 12
1402 3 6
1790 3 8
3256 6 14
424 1 2
1003 2 4
2586 5 12
183 0 1
2286 4 10
3089 6 13
3427 7 15
618 1 3
3758 7 16
1833 3 8
2933 6 13
170 0 1
2155 4 9
1722 3 8
1190 2 5
3977 8 17
3330 7 15
2369 4 10
693 2 3
1426 3 6
2556 5 11
3435 6 15
550 1 2
3442 7 15
1513 3 6
2146 4 9
2061 4 9
1719 3 8
3754 7 16
140 0 1
424 1 1
280 1 1
1997 4 8
688 2 3
530 1 2
2550 5 11
1438 3 6
3867 7 19
950 2 4
194 1 0
3196 7 14
3298 7 14
417 1 6
287 1 2
106 1 0
489 1 2
283 1 1
456 1 2
1735 3 7
2115 4 9
3702 7 16
3317 6 15
672 1 3
1787 3 8
264 0 1
314 1 1
356 1 1
3186 6 14
54 1 0
913 1 4
2809 6 12
1833 4 8
946 1 4
314 1 1
3757 7 23
322 1 1
3559 7 15
3647 8 15
3983 8 17
482 1 2
145 0 1
3197 6 17
223 0 1
3130 6 13
2162 4 10
1536 3 7
451 1 2
3174 6 14
2467 4 11
45 0 0
1660 3 7
2293 5 9
2440 5 11
1254 2 5
25 1 0
2155 4 9
1511 3 6
746 1 4
650 1 3
1187 2 5
314 1 1
475 1 2
23 0 0
2169 4 9
2019 4 9
2788 5 12
1906 3 9
1959 3 9
3392 7 16
2203 4 9
3626 7 16
2478 4 11
415 1 1
1315 3 5
1825 4 8
1335 2 6
1875 3 8
373 1 2
160 0 1
3834 7 16
71 1 0
3488 6 15
298 1 1
3519 7 15
178 1 0
1774 3 8
271 0 2
1764 3 9
2669 5 11
1193 3 5
1986 4 9
3103 5 14
481 1 2
1214 2 6
3628 6 16
803 2 3
100 0 1
2528 4 11
2626 5 12
1544 2 7
1925 4 8
3024 6 13
1973 3 9
1062 2 4
2182 5 9
3004 5 13
3433 6 15
1506 3 7
3594 6 16
2726 5 12
1032 2 4
493 1 2
143 0 1
1223 2 5
3287 7 13
1065 1 5
3901 7 17
3188 6 14
361 1 1
2414 5 11
2975 6 15
2271 4 10
1171 2 8
236 1 1
2834 5 12
3712 8 16
1761 3 8
2897 6 12
668 1 3
3286 6 14
551 1 3
141 0 1
1695 3 7
2696 5 12
1625 3 7
20 0 0
2126 4 10
2577 5 11
1695 3 7
2659 5 12
2303 4 10
1372 3 6
2467 4 11
679 1 3
2594 5 11
3852 8 16
1485 3 6
1019 2 4
465 1 2
1120 2 5
3153 6 14
2801 5 12
2088 4 9
3061 6 14
1927 3 9
1011 2 4
758 2 3
171 0 1
316 0 2
1577 3 6
2228 5 9
44 0 0
2759 6 12
3165 6 13
1110 3 4
3883 8 16
1087 2 6
1566 3 7
3488 7 15
1578 3 6
2475 5 11
2626 5 11
1628 3 7
1630 3 8
3929 7 17
1424 2 7
521 1 2
2903 5 13
2963 5 13
124 0 1
597 1 2
3738 7 17
1262 2 5
2196 4 10
526 1 2
1265 3 6
261 0 1
2203 4 10
117 0 1
1031 1 5
327 0 2
1012 2 4
2772 5 13
2412 5 10
1548 3 7
1154 2 5
1521 3 7
1791 3 7
2925 6 12
2189 4 9
1764 4 7
941 2 4
852 1 4
2663 5 11
1830 4 8
2901 5 12
1714 3 8
2959 5 13
1579 3 6
366 1 2
1008 2 4
3478 6 16
